Country-Medal,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024
USA-Gold,11,19,76,23,26,41,45,22,44,24,38,40,32,34,36,45,33,34,0,83,36,37,44,37,36,36,48,46,39,40
Japan-Gold,0,0,0,0,0,0,0,2,7,6,0,1,4,4,16,11,13,9,0,10,4,3,3,5,16,9,7,12,27,20
Britain-Gold,2,15,1,56,10,14,9,3,4,4,3,1,6,2,4,5,4,3,5,5,5,5,1,11,9,19,29,27,22,14
France-Gold,5,27,0,5,7,9,13,6,10,7,10,6,4,0,1,7,2,2,6,5,6,8,15,13,11,7,11,10,10,16
Australia-Gold,2,2,0,1,2,0,3,1,3,0,2,6,13,8,6,5,8,0,2,4,3,7,9,16,17,14,8,8,17,18
